id,company_id,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,demand_tags,sales_pitch,reasoning,rated_by,rated_at
209,12,70,B,0,0,0,0,0,"[""网络安全"", ""AI安全"", ""云安全""]",安全护航数字化，AI赋能未来,技术投入方面，经营范围覆盖网络安全、软件开发、AI和云计算，技术实力强，得分27/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模技术岗位占比20%，技术团队占比较高，得分10/15；行业匹配度网络安全与数字化转型需求高度契合，得分10/10。总分70，对应B级。,deepseek,2026-08-06 16:39:34.262292
210,11,66,B,0,0,0,0,0,"[""时空大数据"", ""数字孪生"", ""GIS云化""]",时空大数据平台，数字化决策利器,技术投入方面，经营范围涉及GIS、遥感、软件开发和大数据分析，技术范围广泛，得分26/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模数据缺失，按中等水平计7.5/15；行业匹配度信息技术服务业数字化转型需求高，得分10/10。总分66，对应B级。,deepseek,2026-08-06 16:39:34.262292
211,2,64,B,0,0,0,0,0,"[""5G+工业互联网"", ""智慧工厂"", ""系统集成优化""]",5G智慧工厂，通信技术驱动转型,技术投入方面，经营范围涵盖通信科技开发、产品制造与系统集成，技术投入较深，得分24/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模数据缺失，按中等水平计7.5/15；行业匹配度通信设备制造业对数字化转型需求强烈，得分9/10。总分64，对应B级。,deepseek,2026-08-06 16:39:34.262292
212,14,70,B,0,0,0,0,0,"[""数据中台"", ""AI应用"", ""智能驾驶数据""]",数据驱动增长，AI引领创新,技术投入方面，经营范围覆盖互联网信息服务、AI、大数据和智能驾驶，技术含量高，得分27/30；资金实力数据缺失，按中等水平计10/20；转型意愿近期无动态，按中等水平计13/25；团队规模技术岗位占比20%，技术团队较强，得分10/15；行业匹配度互联网软件行业数字化转型需求极高，得分10/10。总分70，对应B级。,deepseek,2026-08-06 16:39:34.262292
213,7,60,B,0,0,0,0,0,"[""AI应用开发"", ""数据中台""]",AI技术企业，可挖掘数据中台与智能办公需求,企业从事数字技术、AI软件开发等业务，具备一定技术投入（18/30）；融资数据缺失，按中等水平评估（10/20）；无明确转型动态，但行业属性决定了其内在数字化转型意愿，给予中等偏上评分（15/25）；技术岗位占比20%，整体团队规模未知，按中等水平评估（8/15）；行业属人工智能，与数字化解决方案高度匹配（9/10）。综合得分60分，评级B，建议持续关注。,deepseek,2026-08-06 16:39:34.262292
214,4,60,B,0,0,0,0,0,"[""AI应用开发"", ""数据中台""]",AI技术企业，可挖掘数据中台与智能办公需求,企业主营人工智能技术开发与系统集成，技术投入评估为中等偏上（18/30）；融资阶段未知，按中等水平评估（10/20）；未发现明确转型动态，但业务属性决定其存在数字化需求，给予中等偏上评分（15/25）；技术岗位占比20%，团队规模未知，按中等水平评估（8/15）；行业为人工智能，匹配度高（9/10）。综合得分60分，评级B，建议持续关注。,deepseek,2026-08-06 16:39:34.262292
215,15,58,C,0,0,0,0,0,"[""智能制造"", ""数据中台"", ""研发效能""]",机器人研发企业，急需数据中台与研发效能双轮驱动。,技术投入维度：经营范围涵盖智能机器人、AI、云计算，技术栈现代，但技术岗位占比20%属中等水平，综合评18分；资金实力维度：融资阶段未知，按中等水平计10分；转型意愿维度：近期动态无，按中等水平计12.5分；团队规模维度：技术岗位占比20%，但总人数未知，按中等偏上计8分；行业匹配度维度：机器人行业与数字化解决方案高度契合，评9分。综合总分58，对应C级，较低需求，建议低成本维护并持续关注。,deepseek,2026-08-06 16:44:19.979736
216,8,58,C,0,0,0,0,0,"[""AI应用"", ""智能系统集成"", ""云基础设施""]",AI硬件公司，构建云边协同智能平台正当时。,技术投入维度：经营范围涉及AI硬件、智能控制、大数据，技术栈先进，技术岗位占比20%中等，评18分；资金实力维度：融资阶段未知，计10分；转型意愿维度：近期无动态，计12.5分；团队规模维度：技术占比20%，总数未知，计8分；行业匹配度维度：AI与智能控制行业数字化需求强，评9分。总分58，C级，建议暂缓跟进，等待其采购意向。,deepseek,2026-08-06 16:44:19.979736
217,3,54,C,0,0,0,0,0,"[""数据治理"", ""信创"", ""云迁移""]",国产数据库领跑者，数据治理与云迁移新机遇。,技术投入维度：技术岗位占比未知，该维度数据缺失，按中等水平15分计；资金实力维度：融资阶段未知，计10分；转型意愿维度：近期动态无，计12.5分；团队规模维度：技术岗位占比未知，按中等水平7.5分；行业匹配度维度：数据库行业与数字化解决方案高度契合，评9分。总分54，C级，建议低成本维护，关注其信创市场拓展需求。,deepseek,2026-08-06 16:44:19.979736
218,6,53,C,0,0,0,0,0,"[""数据中台"", ""云原生"", ""AI应用""]",深耕软件与大数据，助力企业数字化升级,技术投入、资金实力、转型意愿、团队规模等维度数据缺失，按中等水平评估（分别计15、10、12.5、7.5分）；行业为软件开发与大数据分析，匹配度较高（计8分）。综合得分53分，属于较低需求，建议低成本维护。,deepseek,2026-08-06 16:44:19.979736
219,9,53,C,0,0,0,0,0,"[""政务数字化"", ""协同办公"", ""数据安全""]",智慧检务专家，赋能政务数字化,技术投入、资金实力、转型意愿、团队规模等维度数据缺失，按中等水平评估（分别计15、10、12.5、7.5分）；行业为智慧检务与系统集成，匹配度较高（计8分）。综合得分53分，属于较低需求，建议低成本维护。,deepseek,2026-08-06 16:44:19.979736
