id,company_name,industry_tags,business_scope,registered_capital,capital_amount,established_date,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,tech_stack,cloud_provider,has_github_org,has_tech_blog,ai_job_ratio,hire_count,news_count,dig_bid_count
174,北立传感器技术(武汉)有限公司,['数字化改造验收'],北（拼音：běi）为汉语一级通用规范汉字（常用字） [7]。 此字始见于商代甲骨文，其古字形像两个人相背而立。 “北”本义是相违背， … 〔北〕字是多音字，拼音,,,,10,D,0,0,10,0,0,,,False,False,0.0000,0,20,0
217,格林美(武汉)城市矿山产业集团有限公司,['数字化改造验收'],《格林》（Grimm）是由达内尔&#183;马丁、诺维托&#183;巴尔瓦等执导，大卫&#183;格林华特、吉姆&#183;科夫编剧，大卫&#183;君图力、塞,,,2012-10-16,10,D,0,0,10,0,0,,,,,,0,20,0
220,正泰高压电气设备(武汉)有限公司,['数字化改造验收'],正泰集团股份有限公司（以下简称“正泰”）始创于1984年，始终扎根实业、创新驱动发展，深入践行“产业化、科技化、国际化、数字 … 。 成立于1997年8月，是正,,,,10,D,0,0,10,0,0,"['Java', 'JavaScript', 'TypeScript', 'AI/ML', '网络安全', '工业互联网', '移动开发']",,False,False,0.0000,0,21,0
154,中冶南方(武汉)热工有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指竖立“中” … 中是多音字，拼音是z,,,,10,D,0,0,10,0,0,,,False,False,0.0000,0,20,0
224,武汉万居隆电器有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,2018-03-14,10,D,0,0,10,0,0,,,,,,0,21,0
227,武汉万集光电技术有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,2013-12-10,10,D,5,0,5,0,0,"['TypeScript', 'AI/ML', '物联网']",,False,True,0.0000,0,10,0
193,娲石水泥集团有限公司,['数字化改造验收'],娲，汉语二级字，读作wā，本义为古神女名，部首为女，左右结构，属形声字。 该字与女娲神话相关，包含抟土造人、炼石补天等核 … ↳ 媧 康熙字典 （康熙字典未收录,,,2008-07-08,10,D,0,0,10,0,0,,,,,,0,11,0
231,武汉三新电力设备制造有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,2801万元,2801.00,,10,D,0,5,5,0,0,,,,,,0,18,0
197,巴士麦普科技(武汉)有限公司,['数字化改造验收'],珍宝巴士 新辟 穗东街文旅巴士，线路全长约5.5公里，起点设在绿意盎然的龙头山森林公园，途经庙头巴士站，终点直达文化底蕴深厚 … 。 香港的九巴率先引入低地台巴,600万元,600.00,2014-07-02,5,D,0,0,5,0,0,,,,,,0,21,0
173,劲帆医药科技(武汉江夏)有限公司,['数字化改造验收'],劲（拼音：j&#236;n、j&#236;ng）是汉语一级通用规范汉字（常用字）。 此字始见于战国文字，古字形从力巠（jīng）声。 “劲”本义指强有力的， …,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,16,0
142,东风亚普汽车部件有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",10万元,10.00,,5,D,0,0,5,0,0,,,False,False,0.0000,0,20,0
169,众志远(武汉)物流设备有限公司,['数字化改造验收'],。 专业提供高低温试验箱、恒温恒湿试验 … 联系方式 浙江众志汽车电器有限公司 地址：浙江省乐清市经济开发区纬三路192弄36号 电话：0577-6111655,2000万元,2000.00,2011-03-21,5,D,0,5,0,0,0,,,False,False,0.0000,0,14,0
225,武汉万曦智能科技有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,2017-04-01,5,D,0,0,5,0,0,,,,,,0,11,0
200,康明斯燃油系统(武汉)有限公司,['数字化改造验收'],康（拼音：kāng）是汉语一级通用规范汉字（常用字）。 此字始见于商代甲骨文。 “康”字本义尚不明确，《说文解字》认为“康”是“ … 征服者康（Kang the,2400万元,2400.00,2007-02-09,5,D,0,5,0,0,0,,,,,,1,10,0
163,中连讯科(武汉)光电科技有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指 … 中是多音字，拼音是zhōng、,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,20,0
146,东风延锋汽车座椅有限公司,['数字化改造验收'],东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相关业务 … 。 2023年品牌销量 … 。,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,20,0
180,华达汽车科技(武汉)有限公司,['数字化改造验收'],华（拼音：hu&#225;，hu&#224;，huā）是汉语一级通用规范汉字（常用字）。 此字初文见于西周金文，其古字形像花朵，本义指草木的花， … ” 例如 ,800万元,800.00,2011-11-24,5,D,0,0,5,0,0,,,False,False,0.0000,0,20,0
168,伊莱瑞特(武汉)生物技术有限公司,['数字化改造验收'],后世用法大致与《诗经》同，主要是用在“谁”、“余”、“我”、“彼”、“君”等之前（君，指用作二称代词敬称的“君”），在魏晋南北朝，偶有 … 语助词。 用于句中，,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,19,0
167,京赢电子(武汉)有限公司,['数字化改造验收'],京（拼音：jīng）为汉语一级通用规范汉字（常用字）。 此字始见于商代甲骨文，其古字形像高大的建筑物，本义为建在高处的房屋。 … 京东JD.COM-专业的综合网,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,11,0
232,武汉三江中电科技有限责任公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,3008万元,3008.00,2011-09-01,5,D,0,5,0,0,0,['物联网'],,False,False,0.0000,0,8,0
145,东风富士汤姆森调温器有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",3635万元,3635.00,1985-11-04,5,D,0,5,0,0,0,,,False,False,0.0000,0,10,0
189,四方光电股份有限公司,['数字化改造验收'],智慧用电 综合能源 公司动态 COMPANY DYNAMICS 四方股份亮相德国慕尼黑The Smarter E Europe 2026 智驭安全，稳载算力 |,,,,5,D,0,0,5,0,0,"['Java', 'JavaScript', 'TypeScript', 'AI/ML', '物联网', '工业互联网']",,False,False,0.0000,0,17,0
235,武汉东海敏实汽车零部件有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,,5,D,5,0,0,0,0,"['TypeScript', 'AI/ML', '工业互联网']",AWS,False,False,0.0000,0,8,0
236,武汉东环车身系统有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,2000-08-31,5,D,0,0,5,0,0,['AI/ML'],,False,False,0.0000,0,9,0
214,朵颐(武汉)供应链有限公司,['数字化改造验收'],&quot;朵颐&quot;由&quot;朵&quot;与&quot;颐&quot;组合而成，其中&quot;朵&quot;字取&quot;动&quot;义，&,1000万元,1000.00,2021-04-23,5,D,0,5,0,0,0,,,False,False,0.0000,0,10,0
186,哈金森(武汉)汽车橡胶制品有限公司,['数字化改造验收'],又《集韵》色洽切，音喢。 《玉篇》以口歃飮。 《淮南子&#183;氾论训》尝一哈水，而甘苦知矣。 《集韵》本作歃。 或作𣣨。 又姓。 《正字 … 哈是多音字，拼,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,21,0
150,东风河西(武汉)顶饰系统有限公司,['数字化改造验收'],东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相关业务 … 。 2023年品牌销量 … 。,1500万元,1500.00,2016-06-07,5,D,0,5,0,0,0,,,False,False,0.0000,0,12,0
176,华域视觉科技(武汉)有限公司,['数字化改造验收'],华（拼音：hu&#225;，hu&#224;，huā）是汉语一级通用规范汉字（常用字）。 此字初文见于西周金文，其古字形像花朵，本义指草木的花，读huā。 用 ,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,20,0
212,朗力生物医药(武汉)有限公司,['数字化改造验收'],朗，汉语常用字，一级字，为现代汉语法定规范简化字，读作lǎng。 最早见于篆书，形声字，左声右形，从月，良声。 其本义是月光 … 朗的拼音是lǎng，朗字共10,,,2009-11-09,5,D,0,0,5,0,0,,,,,,0,20,0
210,智新半导体有限公司,['数字化改造验收'],。 引申义有智慧、智谋、计谋、策略、有智 … 智谱推出 AutoClaw（澳龙）——国内首款一键安装的本地 OpenClaw 客户端。 内置50+Skills，,,,,5,D,0,0,5,0,0,,,,,,0,20,0
160,中科天工(武汉)技术有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指 … 中是多音字，拼音是zhōng、,,,,5,D,0,0,5,0,0,,,False,False,0.0000,0,19,0
162,中远航船舶研究院(武汉)有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指 … 中是多音字，拼音是zhōng、,,,2014-09-02,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
179,华瑞新制罐(武汉)有限公司,['数字化改造验收'],华（拼音：hu&#225;，hu&#224;，huā）是汉语一级通用规范汉字（常用字）。 此字初文见于西周金文，其古字形像花朵，本义指草木的花， … ” 例如 ,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,19,0
183,博格华纳汽车零部件(武汉)有限公司,['数字化改造验收'],博（拼音：b&#243;）是汉语一级通用规范汉字（常用字）。 此字始见于西周金文。 本义一般认为指大；引申指丰富、宽广，如：渊博；又引申指广 … 广泛;普遍 [,,,2017-12-14,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
184,博联众科(武汉)科技有限公司,['数字化改造验收'],博（拼音：b&#243;）是汉语一级通用规范汉字（常用字）。 此字始见于西周金文。 本义一般认为指大；引申指丰富、宽广，如：渊博；又引申指广 … 广泛;普遍 [,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,15,0
185,博雷顿(武汉)新能源装备有限公司,['数字化改造验收'],博（拼音：b&#243;）是汉语一级通用规范汉字（常用字）。 此字始见于西周金文。 本义一般认为指大；引申指丰富、宽广，如：渊博；又 … 广泛;普遍 [exte,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
187,嘉必优生物技术(武汉)股份有限公司,['数字化改造验收'],嘉，汉语常用字，读作jiā，最早见于西周金文，其本义是美好，《诗&#183;豳风&#183;东山》：“其新孔嘉，其旧如之何？ ”引申为赞美、褒扬、表彰，还 … ,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
188,嘉艺沃德(武汉)技术有限公司,['数字化改造验收'],嘉，汉语常用字，读作jiā，最早见于西周金文，其本义是美好，《诗&#183;豳风&#183;东山》：“其新孔嘉，其旧如之何？ ”引申为赞美、褒扬、表彰，还 … ,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
190,国药集团中联药业有限公司,['数字化改造验收'],"Reagent offers a wide range of chemical reagents, laboratory consumables, and in",,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,12,0
191,国药集团动物保健股份有限公司,['数字化改造验收'],"Reagent offers a wide range of chemical reagents, laboratory consumables, and in",,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
192,国药集团武汉生物制药有限公司,['数字化改造验收'],"Reagent offers a wide range of chemical reagents, laboratory consumables, and in",,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
195,富诚汽车零部件武汉有限公司,['数字化改造验收'],。 此字始见于春秋晚期侯马盟书，古字形像房屋内有酒器（畐），表示 … 通“福” ( f&#250;)。 古称富贵寿考为福 [good luck] 书证 何神不富,,,2011-11-04,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
196,岩联(武汉)科技有限公司,['数字化改造验收'],《第一批异体字整理表》淘汰了“巖”“巗”两个异体，而以“岩”字为正体字。 [2] 岩的本义为山高。 《诗&#183;鲁颂&#183;閟宫》：“泰山岩岩，鲁邦所詹,500万元,500.00,2018-01-08,0,D,0,0,0,0,0,,,,,,0,15,0
198,布林凯斯(武汉)生物技术有限公司,['数字化改造验收'],布（拼音：b&#249;）为汉语一级通用规范汉字（常用字）。 此字始见于西周金文，古字形从巾，父声。 布的本义指麻布，后引申为棉麻等织物的统 … 铺开 [be ,,,,0,D,0,0,0,0,0,,,,,,0,16,0
199,广钢气体(武汉)有限公司,['数字化改造验收'],广州钢铁企业集团有限公司（简称广钢集团）是广州市国有资产管理体制改革后首批成立的授权国有资产经营管理的国有控股企业，成立 … 广钢集团有色金属生产加工基地主要 ,,,,0,D,0,0,0,0,0,,,,,,0,18,0
137,SEW-传动设备(武汉)有限公司,['数字化改造验收'],"在 SEW-EURODRIVE 工作，您将获得最佳的发展前景和福利待遇。 作为一家家族企业和全球性公司，我们培养了一种企业文化，在 … Aug 11, 2026",500万元,500.00,2007-01-28,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
138,三樱(武汉)汽车部件有限公司,['数字化改造验收'],三（拼音：sān）是汉语一级通用汉字（常用字）。 此字始见于商代甲骨文，由三横组成，每横都是表数符号。 三本义是数目的名 … 例如 三叉 (三歧的道路);三木 ,150万元,150.00,2005-10-25,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
139,东实精工齿轮(武汉)有限公司,['数字化改造验收'],东（拼音：dōng）是汉语一级通用规范汉字（常用字）。 此字始见于商代甲骨文。 “东”的古字形像两头用绳索扎住的口袋，是“橐”的 … 东的拼音是dōng，东字共,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
140,东方电气(武汉)核设备有限公司,['数字化改造验收'],7 小时之前&ensp;&#0183;&ensp;东方财富网，专业的互联网财经媒体，提供7*24小时财经资讯及全球金融市场报价，汇聚全方位的综合财经资讯和金融市,,,2008-11-18,0,D,0,0,0,0,0,,,False,False,0.0000,0,12,0
144,东风博泽汽车系统有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
147,东风延锋汽车座舱系统有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",,,2003-12-18,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
148,东风彼欧汽车外饰系统有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",,,,0,D,0,0,0,0,0,"['TypeScript', 'AI/ML', '移动开发']",,False,False,0.0000,0,10,0
151,东风爱机汽车冲压件有限公司,['数字化改造验收'],"东风公司是中央直管的特大型汽车企业，业务涵盖商用车、乘用车、新能源汽车、军车、关键汽车总成和零部件、汽车装备以及汽车相 … 。 2023年品 … 。 上市以来,",,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
155,中国电建集团武汉重工装备有限公司,['数字化改造验收'],中华人民共和国（the People's Republic of China），简称“中国”，成立于。 中国是以汉族为主体民族的多民族国家，通用汉语、汉字，汉族,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
156,中国船舶重工集团应急预警与救援装备股份有限公司,['数字化改造验收'],中华人民共和国（the People's Republic of China），简称“中国”，成立于。 中国是以汉族为主体民族的多民族国家，通用汉语、汉字，汉族,,,2007-12-27,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
175,千里马工程机械再制造集团有限公司,['数字化改造验收'],5 天之前&ensp;&#0183;&ensp;千里马招标网是提供全面招投标采购信息的招标网站，覆盖全国98%以上地区及招标行业，每天更新30余万条招标项目信息,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
157,中基科技(武汉)有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指竖立“中” … 中是多音字，拼音是z,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
158,中步擎天新能源(湖北)有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指 … 中是多音字，拼音是zhōng、,,,2022-10-19,0,D,0,0,0,0,0,,,False,False,0.0000,0,13,0
159,中电科创智联(武汉)有限责任公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指 … 中是多音字，拼音是zhōng、,,,,0,D,0,0,0,0,0,"['Java', 'JavaScript', 'TypeScript', 'AI/ML', '云计算', '工业互联网']",,False,False,0.0000,0,10,0
161,中船星惯科技(武汉)有限公司,['数字化改造验收'],其形体像竖立的一面旗帜，上下各两条旗斿向左飘动，方口表示中间。 金文旗斿向右。 小篆省掉旗斿，隶变后楷书写作“中”。 原意指竖立“中” … 中是多音字，拼音是z,,,2012-03-13,0,D,0,0,0,0,0,,,False,False,0.0000,0,15,0
166,乐福思健康产业股份公司,['数字化改造验收'],甲骨文中的“乐”字（图A，见《战后京津新获甲骨集》第3728片）是个象形兼会意字，下面是弦乐本身的木结构（图A1），上面是以丝做成的 … 乐是多音字，拼音是l&,,,2001-02-12,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
170,佛吉亚(武汉)汽车部件系统有限公司,['数字化改造验收'],佛，汉语 常用字 （一级字），读作f&#250;，最早见于《诗经》 [1]，其本义为看不清楚，又可以引申为慈悲等义。 “佛”又读作f&#243;，是译音用 … ,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
202,恒昌新能源(湖北)有限公司,['数字化改造验收'],QQ音乐是腾讯公司推出的一款网络音乐服务产品，海量音乐在线试听、新歌热歌在线首发、歌词翻译、手机铃声下载、高品质无损音乐试听、 … 3 天之前&ensp;&#0,,,,0,D,0,0,0,0,0,,,,,,0,10,0
203,扬子江汽车集团有限公司,['数字化改造验收'],杨子，。 扬子集团迄今为 … 1 天前&ensp;&#0183;&ensp;扬子空调官方权威信息发布，最新最全产品信息，网上报修等诸多体验，安徽扬子空调股份有限,,,2004-01-15,0,D,0,0,0,0,0,,,,,,0,10,0
204,拜尔液压动力(武汉)股份有限公司,['数字化改造验收'],1 天前&ensp;&#0183;&ensp;我们的产品正在帮助解决当今一些最严峻的挑战，其中包括全球人口增长、 老龄化社会以及高效--并在可能的情况下可持续 ,,,,0,D,0,0,0,0,0,,,,,,0,10,0
205,捷福装备(武汉)股份有限公司,['数字化改造验收'],捷（拼音：ji&#233;），汉语一级字，部首“扌”，总笔画11画，Unicode U+6377，五笔rgvh。 本义指战利品，《说文解字》释“猎也，军获得也”,,,2007-07-30,0,D,0,0,0,0,0,,,,,,0,10,0
